scenario,iso,year,gini
SSP1,COM,2065,0.561417201
SSP1,COM,2070,0.555862515
SSP1,COM,2075,0.549925648
SSP1,COM,2080,0.543651674
SSP1,COM,2085,0.53704091
SSP1,COM,2090,0.530184138
SSP1,COM,2095,0.523031974
SSP1,COM,2100,0.515599534
SSP1,CPV,2010,0.5319
SSP1,CPV,2015,0.530247522
SSP1,CPV,2020,0.528314209
SSP1,CPV,2025,0.524932822
SSP1,CPV,2030,0.519574198
SSP1,CPV,2035,0.513719918
SSP1,CPV,2040,0.506903001
SSP1,CPV,2045,0.498606162
SSP1,CPV,2050,0.48903646
SSP1,CPV,2055,0.483797187
SSP1,CPV,2060,0.479150532
SSP1,CPV,2065,0.474017201
SSP1,CPV,2070,0.468462515
SSP1,CPV,2075,0.462525648
SSP1,CPV,2080,0.456251674
SSP1,CPV,2085,0.44964091
SSP1,CPV,2090,0.442784138
SSP1,CPV,2095,0.435631974
SSP1,CPV,2100,0.428199534
SSP1,CRI,2010,0.45447083
SSP1,CRI,2015,0.4509193
SSP1,CRI,2020,0.43418301
SSP1,CRI,2025,0.41175858
SSP1,CRI,2030,0.38154305
SSP1,CRI,2035,0.34521816
SSP1,CRI,2040,0.306451691
SSP1,CRI,2045,0.273916227
SSP1,CRI,2050,0.24814679
SSP1,CRI,2055,0.227736327
SSP1,CRI,2060,0.211570395
SSP1,CRI,2065,0.198766306
SSP1,CRI,2070,0.188624936
SSP1,CRI,2075,0.180592551
SSP1,CRI,2080,0.174230569
SSP1,CRI,2085,0.169191615
SSP1,CRI,2090,0.165200555
SSP1,CRI,2095,0.16203947
SSP1,CRI,2100,0.15953576
SSP1,CUB,2010,0.27
SSP1,CUB,2015,0.265787443
SSP1,CUB,2020,0.26470999
SSP1,CUB,2025,0.263388037
SSP1,CUB,2030,0.26013117
SSP1,CUB,2035,0.250370502
SSP1,CUB,2040,0.236395423
SSP1,CUB,2045,0.222792838
SSP1,CUB,2050,0.210753453
SSP1,CUB,2055,0.200058059
SSP1,CUB,2060,0.191121629
SSP1,CUB,2065,0.183958595
SSP1,CUB,2070,0.178216483
SSP1,CUB,2075,0.173612986
SSP1,CUB,2080,0.169921971
SSP1,CUB,2085,0.166962286
SSP1,CUB,2090,0.1645888
SSP1,CUB,2095,0.162685226
SSP1,CUB,2100,0.161158384
SSP1,CYP,2010,0.3263
