origin,destination,phi
LBN,SAU,0.037522222222222214
LKA,SAU,0.033147826086956524
MMR,SAU,0.08939375
NPL,SAU,0.029940322580645166
PAK,SAU,0.029419117647058818
PHL,SAU,0.03798888888888889
SDN,SAU,0.015625
SSD,SAU,0.05781875
SYR,SAU,0.08465
YEM,SAU,0.04335454545454546
MLI,SEN,0.04034285714285714
BGD,SGP,0.027933333333333345
CHN,SGP,0.044966037735849056
IDN,SGP,0.035010714285714284
IND,SGP,0.022104032258064506
LKA,SGP,0.02631666666666667
MYS,SGP,0.04111488095238094
PAK,SGP,0.09142333333333333
PHL,SGP,0.022832746478873248
THA,SGP,0.041850806451612904
CHN,SWE,0.0716691176470588
IND,SWE,0.05882599999999999
LBN,SWE,0.08638035714285715
SOM,SWE,0.09657600000000001
CHN,THA,0.1308544117647059
IDN,THA,0.1246842105263158
IND,THA,0.12739799999999993
KHM,THA,0.10802613636363635
LAO,THA,0.10254210526315792
MMR,THA,0.09211129032258064
VNM,THA,0.11995499999999999
BGR,TUR,0.09945609756097562
KEN,TZA,0.09854342105263159
RWA,TZA,0.11929799999999999
UGA,TZA,0.12467065217391303
AFG,USA,0.0553625
ARM,USA,0.049609375
BGD,USA,0.0411625
BRA,USA,0.049841304347826076
CHN,USA,0.06070943396226416
COL,USA,0.04426467391304346
CPV,USA,0.08965937499999999
CRI,USA,0.047181250000000015
CUB,USA,0.10633333333333335
DOM,USA,0.05495265957446808
ECU,USA,0.029737179487179494
EGY,USA,0.04974687499999999
ERI,USA,0.047275
ETH,USA,0.04643
GHA,USA,0.049939655172413805
GTM,USA,0.04140079365079365
GUY,USA,0.08067948717948716
HND,USA,0.030044047619047616
HTI,USA,0.0430625
IDN,USA,0.07417613636363635
IND,USA,0.023593298969072172
JAM,USA,0.06397884615384616
JOR,USA,0.0649397435897436
KEN,USA,0.06121607142857144
LBN,USA,0.08750408163265307
LBR,USA,0.04801785714285714
MEX,USA,0.03978457943925234
NGA,USA,0.03777272727272726
NIC,USA,0.040769230769230766
NPL,USA,0.04122173913043479
PAK,USA,0.04355897435897437
PAN,USA,0.04101249999999999
PER,USA,0.03674749999999999
PHL,USA,0.03677647058823529
SLV,USA,0.030922340425531932
SOM,USA,0.05550000000000001
SSD,USA,0.03457777777777778
THA,USA,0.09275624999999998
UKR,USA,0.04589130434782609
VNM,USA,0.03301403508771931
YEM,USA,0.048633333333333334
ZAF,USA,0.055015625000000005
AGO,ZAF,0.14111250000000003
BWA,ZAF,0.15394696969696967
CHN,ZAF,0.16780192307692304
IND,ZAF,0.09181499999999998
KEN,ZAF,0.10466458333333332
LSO,ZAF,0.11885517241379313
MOZ,ZAF,0.13638249999999996
MWI,ZAF,0.13457209302325585
NGA,ZAF,0.13954999999999998
SWZ,ZAF,0.11952857142857144
TZA,ZAF,0.128403125
ZMB,ZAF,0.14026410256410254
ZWE,ZAF,0.11223404255319151
