scen,country,period,gini,region,dgini_edu,dgini_eduspend,gini_nomig,relgini,worldregion,reldif
SSP4,MLT,2025,0.29761242,470,-0.0015646862527294199,0.00026214534882859825,0.2989149609039008,0.004376634899514009,EUR,-0.004357563435306133
SSP4,MMR,2025,0.448978733,104,-0.00032706337435594815,0.0007455204134842278,0.4485602759608717,-0.0009320197336124547,ASIA,0.0009328892047604231
SSP4,MNE,2025,0.31854633,499,-0.0011901481073990276,0.00036957575834360224,0.3193669023490554,0.0025759905915583303,EUR,-0.00256937191368245
SSP4,MNG,2025,0.41104633,496,-0.0005791070803054344,0.0008616566943012744,0.4107637803860042,-0.0006873911609813765,ASIA,0.0006878639926097829
SSP4,MOZ,2025,0.527788414,508,0.0006257234171195219,0.0002140438529268185,0.5269486467299537,-0.0015911059200445221,AFR,0.001593641572585014
SSP4,MRT,2025,0.443928504,478,0.000883544939647349,,,,AFR,
SSP4,MUS,2025,0.430311891,480,-0.00026561300305428956,0.0009516364094016869,0.42962586759365257,-0.0015942469187946173,AFR,0.0015967926004778477
SSP4,MWI,2025,0.531704632,454,0.0006159917377695455,0.00028041225049585286,0.5308082280117347,-0.0016859059227930517,AFR,0.0016887530014804142
SSP4,MYS,2025,0.532719948,458,-0.0003106019653627294,-0.0010717216404600046,0.5341022716058227,0.002594841081157817,ASIA,-0.002588125307287359
SSP4,NAM,2025,0.679819948,516,0.0002946684397397265,0.0003022940625859017,0.6792229854976745,-0.0008781185431256944,AFR,0.0008788903130070302
SSP4,NCL,2025,0.434231271,540,-0.0019353675550975726,-0.0008693358051243422,0.4370359743602219,0.006459008246372688,OCE,-0.0064175571915510154
SSP4,NER,2025,0.38674633,562,0.00030695879227025285,-6.123237982568004e-5,0.38650060358755545,-0.0006353684401985138,AFR,0.0006357723899101941
SSP4,NGA,2025,0.502706471,566,7.517832628966964e-5,5.326543675988199e-6,0.5026259661300343,-0.00016014289572507945,AFR,0.00016016854557987514
SSP4,NIC,2025,0.470362279,558,-0.0006829797363370522,0.0016002149151079662,0.4694450438212291,-0.0019500610906150184,LAC,0.001953871258933093
SSP4,NLD,2025,0.28578146,528,-0.0021769165487749965,-0.0006769247556933653,0.28863530130446835,0.009986096734436067,EUR,-0.009887360595085215
SSP4,NOR,2025,0.266193403,578,-0.0022960637812440756,-0.0016754014787871562,0.2701648682600312,0.014919472891787633,EUR,-0.014700154337642157
SSP4,NPL,2025,0.39974633,524,-0.00033632655398287424,0.0011103012462502985,0.39897235530773256,-0.0019361645978523967,ASIA,0.001939920603447387
SSP4,NZL,2025,0.34300232,554,-0.004594700034074986,-0.0009770981615163724,0.34857411819559136,0.01624419973483371,OCE,-0.015984543615670588
SSP4,OMN,2025,0.425938062,512,-0.00037845768785140296,-0.0030655418692257285,0.42938206155707714,0.008085681615082274,ASIA,-0.008020827755561344
SSP4,PAK,2025,0.36814633,586,0.0004506397533337376,4.2529541296883715e-6,0.36769143729253656,-0.0012356301568006156,ASIA,0.0012371588275565948
SSP4,PAN,2025,0.55830925,591,-0.00033825446022145265,4.0083182378889974e-5,0.5586074212778425,0.0005340611459374589,LAC,-0.000533776076874215
SSP4,PER,2025,0.52013981,604,-0.0004394757934499815,0.00021657685543199416,0.520362708938018,0.00042853658522679083,LAC,-0.0004283530202863206
SSP4,PHL,2025,0.46583866,608,-0.000323761856463656,0.000372792071450151,0.46578962978501354,-0.00010525149412565771,ASIA,0.00010526257316878507
SSP4,PNG,2025,0.510263828,598,1.0872132760998958e-5,,,,OCE,
