scen,country,period,gini,region,dgini_edu,dgini_eduspend,gini_nomig,relgini,worldregion,reldif
SSP1,MNG,2010,0.3988,496,,,0.3988,0.0,ASIA,0.0
SSP1,MOZ,2010,0.5158,508,,,0.5158,0.0,AFR,0.0
SSP1,MRT,2010,0.4348,478,,,0.4348,0.0,AFR,0.0
SSP1,MUS,2010,0.418083333,480,,,0.418083333,0.0,AFR,0.0
SSP1,MWI,2010,0.5212,454,,,0.5212,0.0,AFR,0.0
SSP1,MYS,2010,0.5226,458,,,0.5226,0.0,ASIA,0.0
SSP1,NAM,2010,0.6697,516,,,0.6697,0.0,AFR,0.0
SSP1,NCL,2010,0.421,540,,,0.421,0.0,OCE,0.0
SSP1,NER,2010,0.3745,562,,,0.3745,0.0,AFR,0.0
SSP1,NGA,2010,0.4897,566,,,0.4897,0.0,AFR,0.0
SSP1,NIC,2010,0.4573,558,,,0.4573,0.0,LAC,0.0
SSP1,NLD,2010,0.26849291,528,,,0.26849291,0.0,EUR,0.0
SSP1,NOR,2010,0.2554,578,,,0.2554,0.0,EUR,0.0
SSP1,NPL,2010,0.3875,524,,,0.3875,0.0,ASIA,0.0
SSP1,NZL,2010,0.32766598,554,,,0.32766598,0.0,OCE,0.0
SSP1,OMN,2010,0.414804506,512,,,0.414804506,0.0,ASIA,0.0
SSP1,PAK,2010,0.3559,586,,,0.3559,0.0,ASIA,0.0
SSP1,PAN,2010,0.53756649,591,,,0.53756649,0.0,LAC,0.0
SSP1,PER,2010,0.47856544,604,,,0.47856544,0.0,LAC,0.0
SSP1,PHL,2010,0.43864613,608,,,0.43864613,0.0,ASIA,0.0
SSP1,PNG,2010,0.4988,598,,,0.4988,0.0,OCE,0.0
SSP1,POL,2010,0.36523933,616,,,0.36523933,0.0,EUR,0.0
SSP1,PRI,2010,0.558,630,,,0.558,0.0,LAC,0.0
SSP1,PRT,2010,0.37222191,620,,,0.37222191,0.0,EUR,0.0
SSP1,PRY,2010,0.526,600,,,0.526,0.0,LAC,0.0
SSP1,PSE,2010,0.4046,275,,,0.4046,0.0,ASIA,0.0
SSP1,PYF,2010,0.421,258,,,0.421,0.0,OCE,0.0
SSP1,QAT,2010,0.464,634,,,0.464,0.0,ASIA,0.0
SSP1,ROU,2010,0.2721,642,,,0.2721,0.0,EUR,0.0
SSP1,RUS,2010,0.4104,643,,,0.4104,0.0,ASIA,0.0
SSP1,RWA,2010,0.5734,646,,,0.5734,0.0,AFR,0.0
SSP1,SAU,2010,0.414804506,682,,,0.414804506,0.0,ASIA,0.0
SSP1,SDN,2010,0.4139,729,,,0.4139,0.0,AFR,0.0
SSP1,SEN,2010,0.4628,686,,,0.4628,0.0,AFR,0.0
SSP1,SGP,2010,0.533,702,,,0.533,0.0,ASIA,0.0
SSP1,SLB,2010,0.461,90,,,0.461,0.0,OCE,0.0
SSP1,SLE,2010,0.3999,694,,,0.3999,0.0,AFR,0.0
SSP1,SLV,2010,0.4243,222,,,0.4243,0.0,LAC,0.0
SSP1,SOM,2010,0.457,706,,,0.457,0.0,AFR,0.0
SSP1,SRB,2010,0.2965,688,,,0.2965,0.0,EUR,0.0
SSP1,STP,2010,0.3682,678,,,0.3682,0.0,AFR,0.0
SSP1,SUR,2010,0.5761,740,,,0.5761,0.0,LAC,0.0
SSP1,SVK,2010,0.27051746,703,,,0.27051746,0.0,EUR,0.0
SSP1,SVN,2010,0.2487,705,,,0.2487,0.0,EUR,0.0
SSP1,SWE,2010,0.2724,752,,,0.2724,0.0,EUR,0.0
SSP1,SWZ,2010,0.5745,748,,,0.5745,0.0,AFR,0.0
SSP1,SYR,2010,0.4177,760,,,0.4177,0.0,ASIA,0.0
SSP1,TCD,2010,0.4932,148,,,0.4932,0.0,AFR,0.0
SSP1,TGO,2010,0.5202,768,,,0.5202,0.0,AFR,0.0
SSP1,THA,2010,0.41986904,764,,,0.41986904,0.0,ASIA,0.0
SSP1,TJK,2010,0.3077,762,,,0.3077,0.0,ASIA,0.0
SSP1,TKM,2010,0.4077,795,,,0.4077,0.0,ASIA,0.0
SSP1,TLS,2010,0.3756,626,,,0.3756,0.0,ASIA,0.0
SSP1,TON,2010,0.381,776,,,0.381,0.0,OCE,0.0
SSP1,TTO,2010,0.4027,780,,,0.4027,0.0,LAC,0.0
SSP1,TUN,2010,0.4181,788,,,0.4181,0.0,AFR,0.0
