orig,dest,distance
ABW,USA,1121.6047628433414
ABW,UZB,15635.282054077532
ABW,VAT,9449.013362668313
ABW,VCT,979.4655168132139
ABW,VEN,359.8151898568447
ABW,VGB,651.9813137170953
ABW,VIR,618.0254678729369
ABW,VNM,19478.077079207167
ABW,VUT,13194.947182773081
ABW,WLF,11582.004414093046
ABW,WSM,11088.178892717504
ABW,YEM,12708.01034026608
ABW,ZAF,10480.755463572541
ABW,ZMB,11160.42655690406
ABW,ZWE,11504.462135713893
AFG,ABW,15569.628131720447
AFG,AFG,0.0
AFG,AGO,6923.989150988715
AFG,AIA,14763.527458750319
AFG,ALB,5509.146136716162
AFG,AND,7548.305004292408
AFG,ARE,1725.020426344158
AFG,ARG,15222.717757279803
AFG,ARM,2761.376719261545
AFG,ASM,12508.911668782119
AFG,ATG,14637.89518826632
AFG,AUS,7565.673213231535
AFG,AUT,5949.9904598506
AFG,AZE,2167.390364638752
AFG,BDI,5043.889379022516
AFG,BEL,7310.174380771655
AFG,BEN,7713.81701773509
AFG,BFA,8041.40686569316
AFG,BGD,2361.0983510569567
AFG,BGR,5128.896784416159
AFG,BHR,2114.5291074725637
AFG,BHS,16308.668983816973
AFG,BIH,5688.618713690789
AFG,BLR,4796.412649898085
AFG,BLZ,17572.8585886623
AFG,BMU,14899.838931545079
AFG,BOL,15755.71608338957
AFG,BRA,13658.270066929812
AFG,BRB,14427.048624483423
AFG,BRN,4915.133359777816
AFG,BTN,2277.0493137088597
AFG,BWA,6127.947487303007
AFG,CAF,5997.904866041392
AFG,CAN,16130.95573401981
AFG,CHE,6924.996145833702
AFG,CHL,16338.767457774398
AFG,CHN,5246.593015451466
AFG,CIV,8439.403660130856
AFG,CMR,6773.982535585054
AFG,COD,6570.872121774399
AFG,COG,6572.414825958375
AFG,COK,13428.827489135227
AFG,COL,16074.16405552472
AFG,COM,3887.9130741558097
AFG,CPV,10429.261248892193
AFG,CRI,17093.2690208866
AFG,CUB,16868.947040314204
AFG,CUW,15453.98347833374
AFG,CYM,16769.166700613223
AFG,CYP,3982.7141746932107
AFG,CZE,6187.777083531172
AFG,DEU,6331.733080695223
AFG,DJI,3180.0172192730815
AFG,DMA,14601.872001067624
